Sample A,Sample B,U Statistic,p-value,Significant?
Arsine_6,Diborane_3,1344.0,1.4982699264205577e-22,✅
Arsine_6,Phosphine_4,1419.0,7.409971100885687e-22,✅
Arsine_6,Diborane_7,1510.5,5.0301561238283615e-21,✅
Arsine_6,Control_1_2min,1624.0,5.1213534241827475e-20,✅
HCHO_4,Diborane_3,1683.5,1.6878740860175455e-19,✅
Arsine_6,Phosphine_3,1686.0,1.772600833798685e-19,✅
HCHO_1,Diborane_3,1694.0,2.080009324796158e-19,✅
HCHO_2,Arsine_6,9878.5,2.478718084107702e-19,✅
Arsine_5,Diborane_3,1741.0,5.260739933659346e-19,✅
Arsine_6,Arsine_7,1759.0,7.482588923056914e-19,✅
Arsine_2,Arsine_6,9885.0,1.103628027436096e-18,✅
Diborane_3,Phosphine_7,9884.0,1.1270764562499372e-18,✅
Arsine_6,Phosphine_5,1789.5,1.3547269618993739e-18,✅
Arsine_3,Diborane_3,1793.0,1.4505340330486615e-18,✅
Arsine_6,Control_4_2min,1818.5,2.37412719678652e-18,✅
HCHO_3,Arsine_6,9825.0,3.521350077465402e-18,✅
Control_7_2min,Diborane_3,1870.5,6.4277703895232114e-18,✅
HCHO_4,Diborane_7,1880.5,7.771894147374015e-18,✅
HCHO_1,Diborane_7,1941.0,2.4296434929494576e-17,✅
Diborane_7,Phosphine_7,9699.0,3.8004860033115975e-17,✅
Arsine_6,Control_5_2min,1974.5,4.5316902994190375e-17,✅
Arsine_5,Diborane_7,1976.0,4.661038373830847e-17,✅
Arsine_3,Diborane_7,1981.0,5.1121783836932045e-17,✅
Phosphine_4,Phosphine_7,9682.5,5.160469971622137e-17,✅
Diborane_3,Phosphine_6,9676.0,5.82000849939729e-17,✅
Control_3_2min,Diborane_3,1991.5,6.20730055459951e-17,✅
HCHO_4,Phosphine_4,2004.0,7.81461354200981e-17,✅
HCHO_7,Diborane_3,2034.0,1.3546103088112662e-16,✅
HCHO_6,Diborane_3,2052.5,1.8975629999607707e-16,✅
Control_2_2min,Diborane_3,2060.5,2.1937391429802666e-16,✅
Arsine_6,Phosphine_1,2080.0,3.1210772816359593e-16,✅
Arsine_5,Phosphine_4,2083.0,3.296087176929514e-16,✅
Control_6_2min,Diborane_3,2085.0,3.4168828747152345e-16,✅
Control_7_2min,Diborane_7,2088.0,3.6069170257924373e-16,✅
Arsine_6,Control_2_2min,2112.0,5.54436185118292e-16,✅
Arsine_3,Phosphine_4,2125.0,6.997318402717925e-16,✅
Arsine_6,Control_3_2min,2129.5,7.581846874377471e-16,✅
HCHO_1,Phosphine_4,2174.0,1.6679754308681095e-15,✅
Control_3_2min,Diborane_7,2194.5,2.3902911804048748e-15,✅
Arsine_6,Control_6_2min,2221.5,3.8265439312603774e-15,✅
Control_5_2min,Diborane_3,2222.5,3.896110735445874e-15,✅
Diborane_7,Phosphine_6,9438.5,4.104777079687228e-15,✅
Diborane_3,MH-7,9431.0,4.675226567942708e-15,✅
Arsine_1,Diborane_3,2245.0,5.7531970764482195e-15,✅
Control_4_2min,Diborane_3,2249.5,6.217962692769646e-15,✅
Diborane_3,HNO3_6,9408.0,6.956345930600072e-15,✅
Arsine_4,Arsine_6,9384.0,1.0494962821352795e-14,✅
HCHO_7,Diborane_7,2284.0,1.1245525617342235e-14,✅
Control_2_2min,Diborane_7,2291.0,1.2671969393177137e-14,✅
