Sample A,Sample B,Spearman Rho,p-value,Significant?
HCl_2,HCl_6,0.9923213962483447,4.7594395240657545e-98,✅
HCl_1,HCl_4,0.9919617402681831,5.335596705010495e-97,✅
HCl_1,HCl_2,0.9904088675727776,5.962329042194326e-93,✅
HCl_2,HCl_4,0.9903874551049376,6.706681755236893e-93,✅
HCl_1,HCl_6,0.9894228410453267,1.039655551189205e-90,✅
HCl_2,HCl_3,0.9890918098068916,5.278812653928643e-90,✅
HCl_4,HCl_6,0.9889870149666086,8.73862490947098e-90,✅
Cl2_6,Cl2_7,0.9882915582992751,2.2038285628263568e-88,✅
HCl_1,HCl_3,0.988070031703317,5.917507557565234e-88,✅
HCl_3,HCl_4,0.9878247449198319,1.7292581417621723e-87,✅
HCl_3,HCl_6,0.9862051882972744,1.2427863568630982e-84,✅
HCl_4,HCl_7,0.9846142120857031,3.8819474208214327e-82,✅
Cl2_3,Cl2_6,0.9836615317194927,9.146708713329024e-81,✅
HCl_1,HCl_7,0.9827969333173846,1.3756725591868203e-79,✅
Cl2_2,Cl2_4,0.981470366877209,6.815784655849284e-78,✅
Cl2_4,Cl2_6,0.9813465184296016,9.6708406729463e-78,✅
NO2_1,NO2_2,0.9804414720817018,1.1638115375587522e-76,✅
Hydrazine_3,Hydrazine_7,0.9803174361221729,1.6218350380415305e-76,✅
Cl2_3,Cl2_7,0.9801651947755008,2.430275850792301e-76,✅
DM_6,DM_7,0.9787171206188611,9.803386125641812e-75,✅
Cl2_2,Cl2_7,0.9785646917602675,1.4253934233900231e-74,✅
Cl2_3,Cl2_4,0.978240780435756,3.129875364097487e-74,✅
Cl2_2,Cl2_6,0.9780311907551897,5.1740342171363316e-74,✅
MA_3,MA_7,0.9778668006801308,7.64864940039374e-74,✅
Cl2_4,Cl2_7,0.9774691093391257,1.9455397391060458e-73,✅
Cl2_1,Cl2_7,0.9772189764881823,3.470288825469023e-73,✅
HF_1,HF_4,0.9769783693003332,6.018668219816338e-73,✅
NO2_2,NO2_6,0.975990015888751,5.444753392551686e-72,✅
