,statistic,p_value
104,143.97438747465117,2.6356638710262725e-18
108,143.93727448988275,2.6768682052300182e-18
107,143.7982822472619,2.8369697166189107e-18
33,143.7105779778265,2.942869450699302e-18
105,143.37672366243794,3.3833012711645304e-18
103,142.3022614451188,5.2977284281336906e-18
106,142.18240552220672,5.569243224728125e-18
32,141.89420086254972,6.280248349676555e-18
101,140.84721456150032,9.713210210155123e-18
53,139.9645418012766,1.4022032425812142e-17
25,139.80570506762723,1.497898815695661e-17
26,139.05999011264672,2.0417568592078728e-17
36,139.03350137812564,2.0643329745444015e-17
81,138.617445433772,2.4533959586313517e-17
24,138.26302103853118,2.841918939561526e-17
94,138.0825782050273,3.0626896223916945e-17
52,137.77194884187213,3.483502467373403e-17
100,137.33463689276485,4.1753104035359946e-17
64,136.80535651882946,5.198026038517194e-17
39,136.15515152365592,6.80180307085362e-17
95,135.56252459011102,8.688967637172149e-17
30,135.55362060879312,8.720978747941642e-17
31,135.16437969125906,1.0241406604456687e-16
14,135.10377256151114,1.0500821397023607e-16
80,135.0606522539881,1.0689363723527366e-16
27,134.83092209031065,1.1752180652214417e-16
1,134.32776929999622,1.4462061700660742e-16
12,133.9199992444205,1.7108339588530333e-16
47,133.41209490743867,2.1088284630778694e-16
67,133.20559398666688,2.2958898108410545e-16
48,133.01849663404397,2.4796035374457335e-16
4,132.89273388895418,2.611249681309821e-16
11,132.28524258645564,3.352021306414681e-16
42,132.11485844677892,3.5950698927190377e-16
28,131.64386512521375,4.362146752587117e-16
35,131.42181869404317,4.778327577792293e-16
93,131.3973682136948,4.826506435021816e-16
54,130.94305240655234,5.815115938326378e-16
6,130.1298558033252,8.114449212792816e-16
16,129.82163237627142,9.205630027113165e-16
49,129.7770073280277,9.375283427443297e-16
29,129.55847727708172,1.0252118697557363e-15
10,129.424506387921,1.082956528445376e-15
23,129.00606729178173,1.285003267816155e-15
51,128.6945004873848,1.4594467191065228e-15
44,128.52979128466066,1.560997432422946e-15
102,128.08136470898125,1.874547575195893e-15
71,127.9418985265633,1.984301590935673e-15
21,127.2465960469701,2.6346042086033414e-15
65,127.07257111338743,2.828162044028671e-15
3,126.32106541829603,3.840205211753333e-15
5,125.30068641956795,5.813691134499019e-15
66,124.47758002546308,8.118755366852077e-15
50,124.41415176109058,8.330229367131923e-15
41,124.38361687802667,8.433981110930404e-15
9,123.93034433850767,1.0134346341998393e-14
37,123.20930695698371,1.3568754910743423e-14
13,123.0878458914266,1.425193056417244e-14
68,122.91816615462685,1.5264004760211662e-14
89,122.82379900862216,1.585749965076886e-14
74,121.89180081376071,2.3104078083554397e-14
82,121.31929188848446,2.91038824957525e-14
2,120.48367162669554,4.074662404588131e-14
22,120.20232012350536,4.562922170640328e-14
40,118.44265059941854,9.247584837300277e-14
15,116.1682743449518,2.2956981677285123e-13
62,116.07441082792671,2.3832590806383357e-13
96,114.8887206825042,3.8215728748529953e-13
60,114.30944775627638,4.811032188597028e-13
38,114.00771933839172,5.423419321401188e-13
72,112.91315857789974,8.370344790166699e-13
45,112.65698547983892,9.26373603878188e-13
8,112.14862410325539,1.1326886767499328e-12
84,111.65457226780437,1.3768262859768222e-12
19,110.42502338288413,2.235729886141387e-12
58,109.55526585569294,3.1476067219042264e-12
46,109.37081298654203,3.3841250207990324e-12
18,109.17228497165478,3.6584545564798646e-12
83,107.71804797462113,6.467819796475132e-12
17,107.27864525989946,7.67984342038024e-12
20,106.47487016605531,1.0509655000142896e-11
59,104.64774317853406,2.139055914820274e-11
34,104.37977460520102,2.3733468702960448e-11
86,102.88566436349852,4.230982149018342e-11
87,99.75210779292433,1.411261008730555e-10
63,97.48642140150547,3.3486187629693116e-10
78,96.52311196203759,4.826338172271079e-10
43,95.98293301411788,5.921407749513725e-10
75,95.85455013522214,6.215967436933172e-10
77,95.74436777638958,6.480320410082911e-10
73,93.68424245417164,1.4079189032714914e-09
69,93.099789408011,1.7528762532175954e-09
91,91.23320132930542,3.518896525365737e-09
61,87.35882726923398,1.4722573584577112e-08
76,86.87938940196645,1.754896044405523e-08
88,79.44313538815496,2.553814921416107e-07
7,71.32073660119767,4.253052400008969e-06
98,68.88023835429544,9.643170632038713e-06
92,65.70602033260154,2.7395050931583838e-05
79,54.98500724420043,0.0007615858491398415
57,54.79710030730445,0.0008047220494928918
85,54.378773776984325,0.000909329965514205
55,49.98883409107597,0.003153783800806808
90,43.744216277998184,0.01610177510376733
56,43.288492960752905,0.018005101284454657
99,40.76107973327794,0.032794722065417135
97,34.18197606908834,0.13050353742467713
70,,
