Sensor,Chemical_1,Chemical_2,U_statistic,p_value
1,Ammonia,Arsine,0.0,0.0005827505827505828
1,Ammonia,Cl2,8.0,0.03787878787878788
1,Ammonia,Control,0.0,0.0005827505827505828
1,Ammonia,DM,44.0,0.011072261072261072
1,Ammonia,Diborane,0.0,0.0005827505827505828
1,Ammonia,F2,0.0,0.0005827505827505828
1,Ammonia,H2S,0.0,0.0005827505827505828
1,Ammonia,HCHO,0.0,0.0005827505827505828
1,Ammonia,HCN,0.0,0.0005827505827505828
1,Ammonia,HCl,49.0,0.0005827505827505828
1,Ammonia,HF,49.0,0.0005827505827505828
1,Ammonia,HNO3,32.0,0.3828671328671329
1,Ammonia,Hydrazine,49.0,0.0005827505827505828
1,Ammonia,MA,49.0,0.0005827505827505828
1,Ammonia,MH-1,7.0,0.25
1,Ammonia,MH-2,7.0,0.25
1,Ammonia,MH-3,7.0,0.25
1,Ammonia,MH-4,7.0,0.25
1,Ammonia,MH-5,7.0,0.25
1,Ammonia,MH-6,7.0,0.25
1,Ammonia,MH-7,7.0,0.25
1,Ammonia,NO2,4.0,0.006993006993006993
1,Ammonia,Phosgene,0.0,0.0005827505827505828
1,Ammonia,Phosphine,0.0,0.0005827505827505828
1,Ammonia,SO2,0.0,0.0005827505827505828
1,Ammonia,TA,0.0,0.0005827505827505828
1,Arsine,Cl2,49.0,0.0005827505827505828
1,Arsine,Control,5.0,0.011072261072261072
1,Arsine,DM,49.0,0.0005827505827505828
1,Arsine,Diborane,27.0,0.8047785547785549
1,Arsine,F2,23.0,0.9015151515151516
1,Arsine,H2S,32.0,0.3828671328671329
1,Arsine,HCHO,21.0,0.7103729603729605
1,Arsine,HCN,38.0,0.09731934731934733
1,Arsine,HCl,49.0,0.0005827505827505828
1,Arsine,HF,49.0,0.0005827505827505828
1,Arsine,HNO3,49.0,0.0005827505827505828
1,Arsine,Hydrazine,49.0,0.0005827505827505828
1,Arsine,MA,49.0,0.0005827505827505828
1,Arsine,MH-1,7.0,0.25
1,Arsine,MH-2,7.0,0.25
1,Arsine,MH-3,7.0,0.25
1,Arsine,MH-4,7.0,0.25
1,Arsine,MH-5,7.0,0.25
1,Arsine,MH-6,7.0,0.25
1,Arsine,MH-7,7.0,0.25
1,Arsine,NO2,49.0,0.0005827505827505828
1,Arsine,Phosgene,7.0,0.026223776223776224
1,Arsine,Phosphine,14.0,0.20862470862470864
1,Arsine,SO2,15.0,0.25932400932400934
1,Arsine,TA,49.0,0.0005827505827505828
1,Cl2,Control,0.0,0.0005827505827505828
1,Cl2,DM,49.0,0.0005827505827505828
1,Cl2,Diborane,0.0,0.0005827505827505828
1,Cl2,F2,0.0,0.0005827505827505828
1,Cl2,H2S,0.0,0.0005827505827505828
1,Cl2,HCHO,0.0,0.0005827505827505828
1,Cl2,HCN,0.0,0.0005827505827505828
1,Cl2,HCl,49.0,0.0005827505827505828
1,Cl2,HF,49.0,0.0005827505827505828
1,Cl2,HNO3,46.0,0.004079254079254079
1,Cl2,Hydrazine,49.0,0.0005827505827505828
1,Cl2,MA,49.0,0.0005827505827505828
1,Cl2,MH-1,7.0,0.25
1,Cl2,MH-2,7.0,0.25
1,Cl2,MH-3,7.0,0.25
1,Cl2,MH-4,7.0,0.25
1,Cl2,MH-5,7.0,0.25
1,Cl2,MH-6,7.0,0.25
1,Cl2,MH-7,7.0,0.25
1,Cl2,NO2,13.0,0.16491841491841494
1,Cl2,Phosgene,0.0,0.0005827505827505828
1,Cl2,Phosphine,0.0,0.0005827505827505828
1,Cl2,SO2,0.0,0.0005827505827505828
1,Cl2,TA,0.0,0.0005827505827505828
1,Control,DM,49.0,0.0005827505827505828
