Chemical,Ammonia,Arsine,Cl2,Control,DM,Diborane,F2,H2S,HCHO,HCN,HCl,HF,HNO3,Hydrazine,MA,MH-1,MH-2,MH-3,MH-4,MH-5,MH-6,MH-7,NO2,Phosgene,Phosphine,SO2,TA
Ammonia,1.0,0.34438442558137317,-0.0312098087970505,-0.0034201225146950945,0.928644240570846,0.04916783370011527,-0.014423580744424439,-0.0649728009755447,0.24207608105404554,-0.11634132632160583,0.004877723474996903,0.000523974201415683,0.024083759657797212,0.7683176617413092,0.9132679794602113,0.676352273459942,0.6058218574566309,0.6438799230519129,0.7419652936973565,0.6803932683361859,0.7110363782811349,0.7332083731297605,-0.03583030857317061,-0.07280383358579363,-0.1703297226747454,-0.2901864395476674,0.8632236798231825
Arsine,0.34438442558137317,1.0,0.16046948088446844,0.23398782474491983,0.3633046576543104,0.3985443044004306,0.3888174378614231,0.2593958101117494,0.17337829984661846,0.28985300141949377,0.06367715567749864,0.10113654767688893,0.1333943048767708,0.4585441138643574,0.3504339459068088,0.44337373501734595,0.4399403619299863,0.41672541586785294,0.41057861318124295,0.506709283443798,0.4905612743168934,0.47406440611089834,0.17498832966551392,0.2800403936475273,0.2241180561509808,0.005973305896138786,0.22268903560166528
Cl2,-0.0312098087970505,0.16046948088446844,1.0,-0.2693036859203369,-0.001571922604247049,0.3950574942601008,0.7722522316537579,0.5138853163375156,-0.174626311126354,0.5274419579486886,0.6986195661493613,0.6419827183781569,0.6124305734183124,-0.05737993845684834,-0.12200977450055732,0.1385533990529501,-0.010041298890712348,0.1037097726930055,0.06299152586849151,0.16987800869994046,0.12572582681283764,0.10866774478615707,0.8028809054274201,0.5980832071031849,0.17397848847733097,0.4980136614364515,-0.12491544961749883
Control,-0.0034201225146950945,0.23398782474491983,-0.2693036859203369,1.0,-0.06106681147408233,-0.08386445263749559,-0.19270818447702612,-0.13233682967027732,0.05013956767364981,-0.1944039555288805,-0.17760820067259234,-0.21260015052349787,-0.2135433040860461,0.07488067678413216,-0.0040679451637181206,-0.0810590020175354,0.035301739126693175,-0.12233961473794142,-0.02749448633642869,-0.07750091696009957,-0.08874736225467826,-0.04375195002239305,-0.23582649785170579,-0.18489620547410138,0.002505549363133175,-0.24638219630931626,-0.049853763563786714
DM,0.928644240570846,0.3633046576543104,-0.001571922604247049,-0.06106681147408233,1.0,0.08335000523974201,0.01757695275658064,-0.06748787714233997,0.26727447674030885,-0.1313650956967428,-0.04511894214372136,-0.06351520001524288,-0.04653843588937476,0.791715491535435,0.9376280164242096,0.7335989730101999,0.659472307839028,0.7153316312273255,0.7773480110409103,0.725841101693058,0.7541263165000077,0.7581781849988279,-0.042784875246506045,-0.09185744091000028,-0.09494412529652177,-0.2370840359351034,0.8855640344108149
Diborane,0.04916783370011527,0.3985443044004306,0.3950574942601008,-0.08386445263749559,0.08335000523974201,1.0,0.2985986071813046,0.4645841073861309,0.16534720435946534,0.48310421370525974,0.2730763001705298,0.37030685834595634,0.40895710080310954,0.04536663903893605,0.04705288328712834,0.22187025891595247,0.12389667179669268,0.13680620391985662,0.16900153858803768,0.2579060938519159,0.16900153858803768,0.11449816251369208,0.40011622700467764,0.3367915630626768,0.5272609486791087,0.3835776958472663,-0.012794497318204768
F2,-0.014423580744424439,0.3888174378614231,0.7722522316537579,-0.19270818447702612,0.01757695275658064,0.2985986071813046,1.0,0.48634332695037485,-0.07396610363257024,0.4932502596053998,0.5385978450370116,0.5141330132327303,0.4711957091276306,0.011546486038469233,-0.062105233073251595,0.1497664736694676,-0.02221184854240592,0.07758226473686299,0.046176637308617416,0.18173893575775532,0.12661658719830404,0.10581446029367873,0.6514523612182876,0.5470767002962836,0.12016157459010927,0.361056331990054,-0.09903112406756409
H2S,-0.0649728009755447,0.2593958101117494,0.5138853163375156,-0.13233682967027732,-0.06748787714233997,0.4645841073861309,0.48634332695037485,1.0,-0.050263416121257155,0.6373336381910505,0.42360932483542446,0.4852858517438814,0.4752636542913487,-0.12503929806510616,-0.15223832252041117,0.06248169063078167,-0.1099541282231087,-0.0693986624271724,-0.026198834866659353,0.09019544330912634,0.06677844836285408,-0.02814700845751993,0.6748882982270619,0.5325197443005897,0.3807482351596216,0.5532691226766507,-0.2164585060066497
HCHO,0.24207608105404554,0.17337829984661846,-0.174626311126354,0.05013956767364981,0.26727447674030885,0.16534720435946534,-0.07396610363257024,-0.050263416121257155,1.0,-0.06149551763887698,-0.18651576209665896,-0.14024407670982308,-0.10827212361980432,0.22162203359150973,0.30222831937656597,0.261916273487347,0.187064444372469,0.22494903112504558,0.2094430127731173,0.2612595447148483,0.21585934560318823,0.26920429564676573,-0.12894528756656853,0.03375346537483209,0.2167157297055265,-0.1677860660969638,0.4212657311345471
HCN,-0.11634132632160583,0.28985300141949377,0.5274419579486886,-0.1944039555288805,-0.1313650956967428,0.48310421370525974,0.4932502596053998,0.6373336381910505,-0.06149551763887698,1.0,0.5207255613669058,0.6166985814589347,0.6254251336134213,-0.15673497384892396,-0.17013918660150332,-0.011632254976013482,-0.1141030709810833,-0.031195815789385132,-0.025250913386938405,0.022611976202187627,-0.010565275588045535,-0.0315909561838335,0.712528699496032,0.612859279583107,0.3411548391399202,0.718149513656673,-0.29362561566968665
